,,,,,
,,"Holders of Basic Technician Certificate (NTA Level 4) in Library and
Information Studies OR Advanced Certificate in Secondary Education
Examination (ACSEE) with at least One Principal Pass and one
Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),"Ordinary Diploma in Procurement and Supply
Chain Management","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVAIII) with a Certificate of Secondary Education
Examination(CSEE)",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Procurement
and Supply, Business Administration,logistics,Clearing and Forwarding,
Accounts banking, Purchasing and Inventory OR Advanced Certificate
in Secondary Education Examination (ACSEE) with one Principal pass
and one Subsidiary in Principal subjects",2,80,
Jordan University College (JUCo),Ordinary Diploma in Psychology and Counselling,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Counselling
Psychology, Education OR Advanced Certificate in Secondary
Education Examination (ACSEE) with at least one Principal pass and
one Subsidiary in Principal subjects.",2,80,
Jordan University College (JUCo),"Ordinary Diploma in Records, Archives and
Information Management","Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects OR National
Vocational Award (NVA III) with a Certificate of Secondary Education
Examination (CSEE)",3,80,"Local Fee: TSH. 1,200,000/="
,,"Holders of Basic Technician Certificate (NTA level 4) in Records
Management, Medical Records, Health in Information Science, Library
and Information Science OR Advanced Certificate in Secondary
Education Examination (ACSEE) with one Principal pass and one
Subsidiary in Principal subjects",2,80,
,,,,,
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Kampala International University in Tanzania (KIUT),Diploma in Business Administration,"Holders of Certificate in Business Administration, Accountancy,
Economics, Banking and Finance, Marketing, Human Resource,
Procurement and Supplies, Law and Tax, Local Government
Administration OR Advanced Certificate of Secondary Education
Examination (ACSEE) with at least one Principal pass and one
Subsidiary in Principal subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Computer Science,"Holders of Certificate in Information Technology, Computer Science
Information Technology, Business Information Technology OR Holder of
Advanced Certificate of Secondary Education Examination (ACSEE)
with one Principal pass and Subsidiary pass in principal subjects",2,800,"Local Fee: TSH. 1,560,000/="
Kampala International University in Tanzania (KIUT),Diploma in Guidance and Counseling,"Holders of Certificate in Guidance and Counseling OR Holders of
Advanced Certificate of Secondary Education Examination ( ACSEE) with at least one Principal Pass and one Subsidiary in Principal
subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Human Resource Management,"Holders of Certificate in Business Administration, Accountancy, Human
Resource, Supplies and Procurement OR Advanced Certificate of
Secondary Education Examination (ACSEE) with One Principal Pass and
one Subsidiary in Principal subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),"Diploma in in Conflict Resolution and Peace
Studies","Holders of Certificate in Conflict Resolution and Peace Studies,
Counselling Psychology OR Advanced Certificate of Secondary
Education Examination (ACSEE) with one Principal Pass and One
Subsidiary in Principal Subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Law,"Holders of Certificate in Law, Criminal Investigation, police science,
Criminal Investigation, Police Science, OR Advanced Certificate of
Secondary Education Examination (ACSEE) with one Principal Pass and
one Subsidiary in Principal subjects",2,800,"Local Fee: TSH. 1,400,000/="
Kampala International University in Tanzania (KIUT),Diploma in Marketing Management,"Holders of Certificate in Business Administration, Accountancy, Human
Resource Management, Marketing Management, Marketing & Public
Relation OR Advanced Certificate of Secondary Education Examination
(ACSEE) with at least one Principal Pass and one Subsidiary in Principal
subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Public Administration,"Holders of Certificate in Public Administration, Local Government
Administration, Business Administration, Human Resource
management, Secretarial services, Community Development,
Community Health and Public Relation OR Advanced Certificate of
Secondary Education Examination (ACSEE) with at least one Principal
Pass and one Subsidiary in Principal subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Social Work,"Holders of Certificate in Social Work, Community Health, theology,
Community Development, sociology, Social Protection OR Advanced
Certificate of Secondary Education Examination (ACSEE) with at least
one Principal Pass and one Subsidiary pass in Principal Subjects",2,500,"Local Fee: TSH. 1,160,000/="
Kampala International University in Tanzania (KIUT),Diploma in Supplies and Procurement Management,"Holders of Certificate in Procurement and Supply, Business
Administration, Logistics, Perchance and Inventory/ clearing and
forwarding OR Advanced Certificate of Secondary Education Examination (ACSEE) with at least one Principal Pass and one
Subsidiary in Principal subjects",2,500,"Local Fee: TSH. 1,160,000/="
